"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101000030-1-C";"2017-2019";"baseline";0.848496551264324;0.823255570486071;0.848496551264324;"High";"Planteplankton";"Oksygen"
"0101000030-1-C";"2017-2019";"DIN100pc";0.863549220312771;0.846028843958738;0.863549220312771;"High";"Planteplankton";"Oksygen"
"0101000030-1-C";"2017-2019";"DINP100pc";0.864275313980718;0.848483373456848;0.864275313980718;"High";"Planteplankton";"Oksygen"
"0101000030-1-C";"2017-2019";"DINTSM100pc";0.85452432168493;0.856704961568585;0.85452432168493;"High";"Planteplankton";"Oksygen"
"0101000030-1-C";"2017-2019";"NTSM100pc";0.859250525760166;0.857719469288507;0.859250525760166;"High";"Planteplankton";"Oksygen"
"0101000030-1-C";"2017-2019";"Scenario A";0.879984450405252;0.836440890437731;0.879984450405252;"High";"Planteplankton";"Oksygen"
"0101000030-1-C";"2017-2019";"Scenario B";0.881164294679082;0.846445816701297;0.881164294679082;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"baseline";0.944540722057621;0.824371268798672;0.944540722057621;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"DIN100pc";0.953047911684354;0.835143456226487;0.953047911684354;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"DINP100pc";0.952607907118049;0.836672411964902;0.952607907118049;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"DINTSM100pc";0.946429046465107;0.842483952801162;0.946429046465107;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"NTSM100pc";0.947262111562859;0.843361293717531;0.947262111562859;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"Scenario A";0.97669271785693;0.830239789204818;0.97669271785693;"High";"Planteplankton";"Oksygen"
"0101000030-2-C";"2017-2019";"Scenario B";0.976741382379234;0.833787820320772;0.976741382379234;"High";"Planteplankton";"Oksygen"
"0101000031-C";"2017-2019";"baseline";0.967318044466797;0.821449130656685;0.967318044466797;"High";"Planteplankton";"Oksygen"
"0101000031-C";"2017-2019";"DIN100pc";0.978277314493852;0.829235348357821;0.978277314493852;"High";"Planteplankton";"Oksygen"
"0101000031-C";"2017-2019";"DINP100pc";0.978406145624011;0.830726295248261;0.978406145624011;"High";"Planteplankton";"Oksygen"
