"WB";"Indicator";"Period";"scenario";"Value";"Type";"Salinity";"Kvalitetselement";"Indikator";"IndikatorDesc";"Ref";"HG";"GM";"MP";"PB";"Worst";"EQR";"Status";"QEtype"
"0101000030-1-C";"Chl";"2017-2019";"baseline";1.96379611490538;"S1";27.3021706265848;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2.3;3.5;7;11;20;40;1;"High";"Bio"
"0101000030-2-C";"Chl";"2017-2019";"baseline";1.92772523649315;"S1";27.8780993243688;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2.3;3.5;7;11;20;40;1;"High";"Bio"
"0101000031-C";"Chl";"2017-2019";"baseline";2.06926181047541;"S1";27.3846085716687;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2.3;3.5;7;11;20;40;1;"High";"Bio"
"0101000032-3-C";"Chl";"2017-2019";"baseline";3.35432241249059;"S1";26.6647402966893;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2.3;3.5;7;11;20;40;0.824279597918235;"High";"Bio"
"0101000032-4-C";"Chl";"2017-2019";"baseline";3.12213347507658;"S1";25.8611903498405;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2.3;3.5;7;11;20;40;0.862977754153904;"High";"Bio"
"0101010301-C";"Chl";"2017-2019";"baseline";4.37805147933352;"S3";20.9461705550774;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2;3;6;9;18;36;0.708129901377765;"Good";"Bio"
"0101010302-C";"Chl";"2017-2019";"baseline";4.64935887035128;"S3";20.4403432362631;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2;3;6;9;18;36;0.690042741976581;"Good";"Bio"
"0101010303-C";"Chl";"2017-2019";"baseline";4.21826205408163;"S3";21.4682215348205;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2;3;6;9;18;36;0.718782529727891;"Good";"Bio"
"0101010304-C";"Chl";"2017-2019";"baseline";3.83725070953369;"S3";23.3508358001709;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2;3;6;9;18;36;0.744183286031087;"Good";"Bio"
"0101010305-C";"Chl";"2017-2019";"baseline";5.19372624292166;"S3";26.4252311258171;"Planteplankton";"Klfa 90pct";"Klorofyll a, 90. percentil (µg/l)";2;3;6;9;18;36;0.653751583805223;"Good";"Bio"
